feature,importance
V14,0.1189507574140637
V14_extreme,0.09364451706858648
pca_anomaly_score,0.08582701466059932
V10,0.0821005114393085
extreme_v_count,0.07076742955642364
V4,0.06167283230457088
V11,0.0521648572384813
V12,0.047741162133561096
V17,0.04635090238390458
V17_extreme,0.04266458593695245
V11_extreme,0.028898220303052828
V3,0.026236743908622462
V12_extreme,0.024664941018950674
V16,0.02059557547213571
V7,0.01220748583617975
V16_extreme,0.011563135501568726
V18,0.011320467819501015
V2,0.011288092408180683
V19,0.010194157502292875
V9,0.009437622690669247
Amount,0.008898784434288135
V21,0.008243307171996518
log_amount,0.008229079367821053
V20,0.007031783448787626
V5,0.00680514357364602
V26,0.006139383630651996
V6,0.006071237051840092
V15,0.006022289003866757
V8,0.005868210759834127
V27,0.005804677410432674
V1,0.005366925075687169
V13,0.0053427668739463976
Time,0.005102796663912081
V3_extreme,0.005022150397062415
V25,0.004876903039540454
V28,0.004656627138732298
V23,0.004603668569133401
V22,0.004359896103637303
V24,0.004261073551863914
V4_extreme,0.003829402161231985
hour_proxy,0.00307219986163404
V18_extreme,0.002699573489647252
V10_extreme,0.0019592676615714628
V26_extreme,0.0014343699566265208
V7_extreme,0.0013353754981669653
is_micro_amount,0.0009231879450245102
is_night_proxy,0.0006247006999688401
V2_extreme,0.0005428201883611049
V5_extreme,0.00042785339821268994
V19_extreme,0.0003537959385049132
V22_extreme,0.0003106031101457806
is_high_amount,0.0002894663423613014
V21_extreme,0.00023029858528548006
V8_extreme,0.00022553523252631205
V15_extreme,0.0001741912895118184
V23_extreme,0.00012586907229681683
V20_extreme,0.0001108368776623789
V28_extreme,9.196493159752387e-05
V1_extreme,8.604701297365535e-05
is_very_high_amount,5.124149204374769e-05
V9_extreme,3.493677599454751e-05
V6_extreme,2.4968485191074894e-05
V24_extreme,1.914203672359964e-05
V27_extreme,1.838640201277672e-05
V25_extreme,4.2681113205477426e-06
V13_extreme,1.9815791161040655e-06
